type,title,cast,release_year,duration,listed_in,plataform
TV Show,Maharakshak Devi,"Umang Jain, Indraneil Sengupta, Rohit Bakshi, Karan Suchak, Shresth Kumar, Ankit Gera, Rushiraj Pawar, Nikita Sharma, Varun Kapoor, Kamalika Guha Thakurta, Sahil Uppal, Charu Asopa",2015,1,"International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",netflix
TV Show,Maharakshak: Aryan,"Aakarshan Singh, Vikramjeet Virk, Reena Aggarwal, Khalid Siddiqui, Abigail Jain, Rishabh Jain",2014,1,"International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",netflix
TV Show,Mahi Way,"Pushtii Shakti, Viraf Patel, Siddhant Karnick, Monica Khanna, Amrita Raichand, Suparna Marwah, Mark Farokh Parekh",2010,1,"International TV Shows, TV Comedies",netflix
Movie,Mahjong Heroes,"Patrick Tse, Betty Ting Pei, Hua Yueh, Chin Siu Ho, Lau Hak-Suen, Kwan Hoi-san",1981,92,"Comedies, International Movies",netflix
TV Show,Mahmut & Meryem,"Aras Bulut İynemli, Eva Dedova, Fahreddin Manafov, Melahat Abbasova, Polat Bilgin, Mehmet Çevik, Shamil Suleimanov, Şafak Başkaya, İlker Kızmaz, Kristina Krepela, Ufuk Şen",2013,1,"International TV Shows, Romantic TV Shows, TV Dramas",netflix
Movie,Maine Pyaar Kyun Kiya,"Salman Khan, Sushmita Sen, Sohail Khan, Katrina Kaif, Arshad Warsi, Isha Koppikar, Rajpal Yadav, Beena Kak",2005,137,"Comedies, International Movies, Music & Musicals",netflix
Movie,Maine Pyar Kiya,"Salman Khan, Bhagyashree, Alok Nath, Rajeev Verma, Reema Lagoo, Ajit Vachani, Harish Patel, Deep Dhillon, Pervin Dastur, Mohnish Bahl",1989,192,"Dramas, International Movies, Music & Musicals",netflix
Movie,Mala Kahich Problem Nahi,"Gashmeer Mahajani, Spruha Joshi, Nirmiti Sawant, Vijay Nikam, Satish Alekar, Mangal Kenkre, Kamlesh Sawant, Seema Deshmukh",2017,132,"Dramas, International Movies",netflix
Movie,Malicious,"Bojana Novakovic, Josh Stewart, Delroy Lindo, Melissa Bolona, Yvette Yates, Luke Edwards, Jaqueline Fleming, Ben VanderMey, Presley Richardson, Joy Kate Lawson",2018,91,Horror Movies,netflix
Movie,Man of Tai Chi,"Keanu Reeves, Tiger Chen, Karen Mok, Simon Yam, Qing Ye, Hai Yu, Sam Lee, Iko Uwais",2013,105,"Action & Adventure, Dramas",netflix
